Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2022-07-18,"Tweaky Crack",V2+,,https://www.mountainproject.com/route/106560701/tweaky-crack,1,"New York > The Gunks > Trapps Bouldering > Pebbles Boulders",2.6,-1,,,Boulder,,10,20210
2022-07-18,"The Lorax",V3+,,https://www.mountainproject.com/route/106515862/the-lorax,1,"New York > The Gunks > Trapps Bouldering > Steel Bridge Boulders",3.1,-1,,,Boulder,,8,20310
2022-07-18,"The Gill Egg (AKA Gill's Route)",V4,,https://www.mountainproject.com/route/106515375/the-gill-egg-aka-gills-route,1,"New York > The Gunks > Trapps Bouldering > Keyhole Cliff area",3.4,-1,,,Boulder,,12,20400
2022-07-18,"Black Boulder Problem",V5,,https://www.mountainproject.com/route/106518842/black-boulder-problem,1,"New York > The Gunks > Trapps Bouldering > Pebbles Boulders",3.3,-1,,,Boulder,,,20500
2022-07-18,Ghost,V4-5,,https://www.mountainproject.com/route/119050455/ghost,1,"New York > Ice Pond > Moby Area > Triple Threat/Ghost Boulder",2.9,-1,,,Boulder,,12,20450
2022-07-18,"Moby’s Eye",V4-5,,https://www.mountainproject.com/route/107399383/mobys-eye,1,"New York > Ice Pond > Moby Area > Moby Boulder",3.4,-1,,,Boulder,,,20450
2022-07-18,"Blair Witch Stand",V4-,,https://www.mountainproject.com/route/112407029/blair-witch-stand,1,"New York > Ice Pond > Mercury Area > Blair Witch Boulder",2.5,-1,,,Boulder,,10,20370
2022-07-18,Official,V7,,https://www.mountainproject.com/route/107399359/official,1,"New York > Ice Pond > Diesel and Ice Cube Area > Diesel Boulder",3.4,-1,,,Boulder,,10,20700
2022-07-18,"Ape Index",V3,,https://www.mountainproject.com/route/113574604/ape-index,1,"New York > Powerlinez > * Powerlinez Bouldering > Welcome Boulders > Tarzan Swing",2.1,-1,,,Boulder,,,20300
2022-07-18,"Right Flank",V3,,https://www.mountainproject.com/route/108399623/right-flank,1,"New York > Powerlinez > * Powerlinez Bouldering > Welcome Boulders > Oliphant Boulder",2.2,-1,,,Boulder,,10,20300
2022-07-18,"Oliphant Crack",V2,,https://www.mountainproject.com/route/108393137/oliphant-crack,1,"New York > Powerlinez > * Powerlinez Bouldering > Welcome Boulders > Oliphant Boulder",2.9,-1,,,Boulder,,11,20200
2022-07-18,"Legolas Attacks",V4,,https://www.mountainproject.com/route/108393146/legolas-attacks,1,"New York > Powerlinez > * Powerlinez Bouldering > Welcome Boulders > Oliphant Boulder",2.6,-1,,,Boulder,,,20400
2022-07-18,"Belly of the Whale",V4,,https://www.mountainproject.com/route/119476774/belly-of-the-whale,1,"New York > Powerlinez > * Powerlinez Bouldering > Rock Dojo > Whale Wall",2.0,2,,,Boulder,V4,10,20400
2022-07-18,Ambidextrous,V4,,https://www.mountainproject.com/route/116165414/ambidextrous,1,"New York > Powerlinez > * Powerlinez Bouldering > Rock Dojo > Whale Wall",2.0,-1,,,Boulder,,,20400
2022-07-18,"Paul Bunyan",V5,,https://www.mountainproject.com/route/113573829/paul-bunyan,1,"New York > Powerlinez > * Powerlinez Bouldering > Rock Dojo > Whale Wall",3.3,-1,,,Boulder,,,20500
2022-07-18,Rock'n'Roll,V4,,https://www.mountainproject.com/route/113573896/rocknroll,1,"New York > Powerlinez > * Powerlinez Bouldering > Rock Dojo > High Heel Boulder",1.8,-1,,,Boulder,,,20400
2022-07-18,"Honk If You're Burly Stand",V5-6,,https://www.mountainproject.com/route/119366193/honk-if-youre-burly-stand,1,"New York > Powerlinez > * Powerlinez Bouldering > Rock Dojo > High Heel Boulder",0.8,2,,,Boulder,V6,10,20550
